Astar_total_moves,Minimax_total_moves,RL_total_moves,Astar_total_deaths,Minimax_total_deaths,RL_total_deaths,win,loss,Astar_total_kills,Minimax_total_kills,RL_total_kills,,Sum of Wins,Sum of Loss,Hero 1 Kills,Hero 2 kills,Hero 3 kills
21,36,6,0,0,1,0,1,1,0,0,,,,,,
7,29,21,1,0,0,0,1,0,0,1,,,,,,
17,24,19,0,0,0,1,0,0,1,0,,,,,,
13,20,15,0,0,0,1,0,1,0,0,,,,,,
27,48,31,0,0,0,1,0,0,0,1,,,,,,
16,19,17,0,1,0,0,1,0,0,1,,,,,,
6,10,20,1,0,0,0,1,0,1,0,,,,,,
13,25,13,0,0,0,1,0,1,0,0,,,,,,
6,21,19,1,1,1,0,1,0,0,0,,,,,,
14,23,16,0,0,0,1,0,0,1,0,,,,,,
6,19,42,1,1,0,0,1,0,0,1,,,,,,
15,28,15,0,0,0,1,0,0,0,1,,,,,,
13,23,48,0,0,0,1,0,1,0,0,,,,,,
20,32,21,0,0,0,1,0,0,0,1,,,,,,
15,34,11,1,0,1,0,1,0,1,0,,,,,,
20,29,29,0,0,0,1,0,1,0,0,,,,,,
24,51,21,1,0,1,0,1,0,1,0,,,,,,
11,29,24,1,0,1,0,1,0,1,0,,,,,,
22,36,41,0,0,0,1,0,1,0,0,,,,,,
15,32,47,1,1,0,0,1,0,0,1,,,,,,
19,35,17,0,0,0,1,0,0,0,1,,,,,,
13,32,17,0,0,0,1,0,1,0,0,,,,,,
17,23,18,0,0,0,1,0,1,0,0,,,,,,
33,41,36,0,1,0,0,1,0,0,1,,,,,,
19,31,31,0,0,0,1,0,1,0,0,,,,,,
8,15,13,0,0,0,1,0,1,0,0,,,,,,
17,20,15,0,0,0,1,0,0,0,1,,,,,,
25,43,23,0,0,0,1,0,1,0,0,,,,,,
20,35,20,0,0,0,1,0,1,0,0,,,,,,
25,44,30,0,0,0,1,0,0,1,0,,,,,,
28,49,9,0,0,1,0,1,0,1,0,,,,,,
26,46,28,0,0,0,1,0,1,0,0,,,,,,
15,41,39,1,1,1,0,1,0,0,0,,,,,,
18,29,109,0,1,0,0,1,1,0,0,,,,,,
20,34,36,0,0,0,1,0,0,0,1,,,,,,
21,30,24,0,0,0,1,0,1,0,0,,,,,,
13,18,15,0,0,0,1,0,1,0,0,,,,,,
15,27,23,1,0,0,0,1,0,1,0,,,,,,
19,35,16,0,0,0,1,0,1,0,0,,,,,,
20,32,13,0,0,0,1,0,0,1,0,,,,,,
21,29,15,0,0,0,1,0,0,0,1,,,,,,
13,27,23,0,0,0,1,0,0,1,0,,,,,,
7,24,22,1,1,1,0,1,0,0,0,,,,,,
27,44,33,0,0,0,1,0,1,0,0,,,,,,
19,33,23,0,0,0,1,0,0,1,0,,,,,,
13,17,32,1,1,0,0,1,0,0,1,,,,,,
20,39,26,0,0,0,1,0,0,1,0,,,,,,
17,21,19,1,1,1,0,1,0,0,0,,,,,,
27,46,9,0,0,1,0,1,1,0,0,,,,,,
19,33,16,0,0,0,1,0,1,0,0,,,,,,
18,34,7,1,1,1,0,1,0,0,0,,,,,,
20,41,23,0,0,0,1,0,0,1,0,,,,,,
17,32,18,0,0,0,1,0,1,0,0,,,,,,
29,41,30,0,0,0,1,0,0,0,1,,,,,,
28,50,17,0,0,0,1,0,1,0,0,,,,,,
