Monte_total_moves,RL_total_moves,Nash_total_moves,Monte_total_deaths,RL_total_deaths,Nash_total_deaths,win,loss,Monte_total_kills,RL_total_kills,Nash_total_kills,,Monte Moves,Rl Moves,Nash Moves,Monte Deaths,Rl Deaths,Nash Deaths
21,10,28,0,1,0,0,1,0,0,1,,,,,,,
27,23,7,1,1,1,0,1,0,0,0,,,,,,,
16,15,15,0,0,0,0,1,0,1,0,,,,,,,
40,6,49,0,1,0,0,1,0,0,1,,,,,,,
36,11,33,1,1,1,0,1,0,0,0,,,,,,,
16,15,15,0,0,0,0,1,0,1,0,,,,,,,
23,29,22,0,0,0,1,0,0,1,0,,,,,,,
23,29,22,0,0,0,1,0,0,1,0,,,,,,,
30,15,39,0,1,0,0,1,0,0,1,,,,,,,
17,37,9,0,0,1,0,1,0,1,0,,,,,,,
17,37,9,0,0,1,0,1,0,1,0,,,,,,,
48,23,40,1,1,1,0,1,0,0,0,,,,,,,
37,42,36,0,0,0,1,0,0,1,0,,,,,,,
37,42,36,0,0,0,1,0,0,1,0,,,,,,,
46,11,56,0,1,0,0,1,0,0,1,,,,,,,
21,20,20,0,0,0,0,1,0,1,0,,,,,,,
25,26,24,0,0,0,0,1,0,1,0,,,,,,,
18,20,17,0,0,0,1,0,0,1,0,,,,,,,
18,20,17,0,0,0,1,0,0,1,0,,,,,,,
14,22,13,0,0,0,1,0,0,1,0,,,,,,,
14,22,13,0,0,0,1,0,0,1,0,,,,,,,
18,50,11,0,0,0,1,0,0,1,0,,,,,,,
18,50,11,0,0,0,1,0,0,1,0,,,,,,,
36,35,35,0,0,0,0,1,0,1,0,,,,,,,
41,10,47,0,1,0,0,1,0,0,1,,,,,,,
49,18,55,0,1,0,0,1,0,0,1,,,,,,,
12,23,11,0,0,0,1,0,0,1,0,,,,,,,
12,23,11,0,0,0,1,0,0,1,0,,,,,,,
25,30,21,0,0,0,1,0,0,1,0,,,,,,,
25,30,21,0,0,0,1,0,0,1,0,,,,,,,
22,12,29,0,1,0,0,1,0,0,1,,,,,,,
13,11,8,1,1,1,0,1,0,0,0,,,,,,,
50,15,60,0,1,0,0,1,0,0,1,,,,,,,
20,19,18,0,0,0,0,1,0,1,0,,,,,,,
20,19,16,0,0,0,0,1,0,1,0,,,,,,,
17,20,16,0,0,0,1,0,0,1,0,,,,,,,
17,20,16,0,0,0,1,0,0,1,0,,,,,,,
27,34,26,0,0,0,1,0,0,1,0,,,,,,,
27,34,26,0,0,0,1,0,0,1,0,,,,,,,
54,11,55,0,1,0,0,1,0,0,1,,,,,,,
71,45,60,1,1,1,0,1,0,0,0,,,,,,,
23,22,10,0,0,1,0,1,0,1,0,,,,,,,
21,23,20,0,0,0,1,0,0,1,0,,,,,,,
21,23,20,0,0,0,1,0,0,1,0,,,,,,,
17,29,9,0,0,1,0,1,0,1,0,,,,,,,
17,29,9,0,0,1,0,1,0,1,0,,,,,,,
27,28,21,0,0,0,1,0,0,1,0,,,,,,,
27,28,21,0,0,0,1,1,0,1,0,,,,,,,
41,27,51,0,1,0,0,1,0,0,1,,,,,,,
28,40,27,0,0,0,1,0,0,1,0,,,,,,,
28,40,27,0,0,0,1,0,0,1,0,,,,,,,
19,30,21,0,0,0,1,0,0,1,0,,,,,,,
19,30,21,0,0,0,1,0,0,1,0,,,,,,,
35,45,34,0,0,0,1,0,0,1,0,,,,,,,
35,45,34,0,0,0,1,0,0,1,0,,,,,,,
18,19,17,0,0,0,1,0,0,1,0,,,,,,,
18,19,17,0,0,0,1,0,0,1,0,,,,,,,
68,38,73,0,1,0,0,1,0,0,1,,,,,,,
31,30,14,0,0,1,0,1,0,1,0,,,,,,,
48,9,63,0,1,0,0,1,0,0,1,,,,,,,
38,24,49,0,1,0,0,1,0,0,1,,,,,,,
36,1001,35,1,0,0,0,1,0,0,1,,,,,,,
